Food Institute 2009.; Energy; Protein, Total; total-N; fat, total; saturated fatty acids; monounsaturated. fatty acids; polyunsaturated. fatty acids; carbohydrate available; carbohydrate total; added sugar; dietary fiber; Alcohol; Ash; Water; Vitamin A; retinol; beta-carotene; Vitamin D; D3 cholecalciferol; D2 ergocalciferol; Vitamin E; alpha-tocopherol; vitamin K; B1 vitamin, thiamin;B2-vitamin, riboflavin;Niacin;  niacin;  tryptofans bidrag;B6-vitamin;Pantothensyre;Biotin;Folat;B12-vitamin;C-vitamin;  L-ascorbinsyre;  L-dehydroascorbins.;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Nikkel, Ni;Fructose;Glucose;Lactose;Maltose;Saccharose; Sugars, Total; Starch; Dietary fiber, total (AOAC); C4: 0; C6: 0; C8: 0; C10: 0; C12: 0; C14: 0; C15: 0; C16: 0; C17: 0 C18: 1, n-5; C16: 1, n-7; C18: 1, n-9; C18: 1, n-7; C18: 1; n- 7; C20: 1, n-11; C22: 1; n-9; C22: 1; n-11; Sum mono-unsaturated; C18: 2; n-6; C18: 3; n-3; C18: 4; n -3, C20: 4, n-6; C20: 5, n-3; C22: 5; n-3; C22: 6; n-3; Sum of polyunsaturated; Sum of n-3 fatty acids; Total n-6 fatty acids; Trans fatty acids; Total; Cholesterol; Isoleucine; Leucine; Lysine; Methionine; Cystine; Phenylalanine; Tyrosine; Threonine; Tryptophan; Featured; Arginine; Histidine; Alanine; Asparagic Acid; Glutamic Acid; Glycine; Proline; Serine ; C24: 1, n-9; Other fatty acids; 25-hydroxycholecalciferol
English name;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;23;24;25;26;27;35;36;37;38;39;40;41;45;46;47;49;50;51;52;56;57;58;59;60;61;64;65;66;67;68;69;72;124;126;130;131;132;138;144;150;174;175;176;177;178;179;180;181;182;183;184;185;186;188;189;191;193;194;197;198;200;202;203;206;208;211;212;214;215;217;218;219;221;223;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;257;259;284
Milk, acidophilus cultured;272;3,7;0,6;3,5;2,3;0,9;0,1;4,7;4,7;0,0;0,0;0,0;0,8;87,3;31,0;29,8;15,4;0,100;0,100;;0,089;0,089;0;0,038;0,185;0,930;0,080;0,850;0,041;0,31;3,5;6,2;0,15;0,3;;;49,0;155;124;12,3;99;0,04;0,01;0,44;24,3;0,01;0,052;1,83;0,958;0;0;3,54;0;0;3,70;0;;0,119;0,076;0,050;0,109;0,136;0,387;;1,04;;0,354;;;;2,27;0,050;0,076;0,777;;0,040;;;0,943;0,073;0,026;;;;;;0,099;0,026;0,073;0,099;14;200;380;330;93;24;180;180;160;51;260;120;99;120;300;700;81;360;190;;;
Perch, raw;356;18,1;2,9;1,3;0,3;0,3;0,5;0,0;0,0;0,0;0,0;0,0;1,3;81,0;0,000;0;0;0,8;;;1,2;1,2;0;0,07;0,07;7,00;4;3,00;;;;;;0;;;54;330;110;26;240;0,6;0,023;0,52;18;0,062;8,6;24;8;;;0;;0;0;0;;;;;;0,000;0,020;;0,249;;0,059;;;;0,341;;;;;;;;0,269;0,033;0,020;;;;;;0,460;0,020;0,033;0,000;60;;;;;;;;;;;;;;;;;;;;;
Apricot, canned, light syrup pack;278;0,5;0,1;0,1;0,0;0,0;0,0;14,9;16,4;14,9;1,5;0,0;0,4;81,9;65,4;0;785;0;;;0,89;0,89;;0,016;0,020;0,454;0,304;0,150;0,054;0,092;;2;0,00;2,7;;;4;138;11;8;13;0,39;0,079;0,11;;0,052;12;0,2;;;;;;;14,9;0;;0,000;0,000;0,000;0,000;0,000;0,000;;0,003;;0,000;;;;0,003;;0,000;0,022;;0,000;0,000;;0,022;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,000;0,010;;0;16;31;37;3;2;22;12;19;9;19;21;9;26;120;54;16;32;31;;;
Apricot, raw;170;0,8;0,1;0,3;0,0;0,1;0,1;7,8;9,4;0,0;1,6;0,0;0,7;88,8;131;0;1566;0;;;;;;0,030;0,040;0,750;0,600;0,150;0,054;0,240;;9;0,00;10,0;10,0;;1;259;14,2;10;21,9;0,39;0,078;0,20;;0,077;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;;0,018;;0,002;;;;0,021;;0,000;0,130;;0,000;0,000;;0,130;0,059;0,000;0,000;0,000;0,000;0,000;0,000;0,059;0,000;0,059;;0;23;44;55;3;2;29;17;27;9;27;26;15;38;180;90;23;58;47;;;
Apricot, dried;1159;2,9;0,5;1,7;0,1;0,6;0,6;57,2;66,5;0,0;9,3;0,0;2,8;26,2;199;0;2390;0;;;4,0;4,0;;0;0,060;3,03;2,8;0,233;0,17;0,70;1,0;14;0;1,00;1,0;;21;1026;67,5;41;65,7;6;0,27;0,2;3,4;0,235;80;2,2;120;4,5;8,1;;;29,3;41,9;0;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,140;0,000;0,000;0,000;0,000;0,000;0,140;0,000;0,000;0,610;;0,000;0,000;;0,610;0,610;0,000;0,000;0,000;0,000;0,000;0,000;0,610;0,000;0,610;;0;79;140;120;19;1;79;36;65;14;120;60;44;100;580;120;70;770;93;;;
Cucumber, raw;45;0,7;0,1;0,1;0,0;0,0;0,0;1,4;2,1;0,0;0,7;0,0;0,4;96,7;5,17;0;62;0;;;0,15;0,15;16,4;0,017;0,017;0,283;0,20;0,083;0,034;0,30;0,4;17,6;0;13,7;9,74;4,0;10;136;20,7;9,23;25,3;0,220;0,028;0,129;0,3;0,1;1,7;0,3;0,6;0,71;0,31;0;0;0;1,02;0;;;;;;0,000;0,001;;0,029;0,000;0,003;0,000;;;0,033;;0,000;0,003;;0,000;;;0,003;0,023;0,021;;;;;;0,044;0,021;0,023;0,000;0;18;28;23;9;2;17;10;16;5;22;28;8;23;40;220;25;13;25;;;
Gherkin, pickled;296;0,3;0,1;0,2;0,1;0,0;0,1;16,1;17,3;15,0;1,2;0,0;3,1;79,1;0,000;0;;0;;;0,07;0,07;0;;;;;;;;;;0;;;;;140;15;9,5;19;0,49;0,057;0,18;;0,085;2,0;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Gherkin, pickled, sugar not added;41;0,3;0,1;0,2;0,1;0,0;0,1;1,1;2,3;0,0;1,2;0,0;3,1;94,1;0,000;0;;0;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Pineapple, canned;269;0,4;0,1;0,3;0,0;0,0;0,0;14,1;15,5;2,5;1,4;0,0;0,3;83,5;6,08;0;73;0;;;0,03;0,03;;0,080;0,010;0,233;0,15;0,083;0,07;0,10;0;9,5;0;12;;;1;94;9,28;8;10,0;0,15;0,091;0,082;1,4;1,5;11,0;0,6;14,7;1,4;2,3;;;10,0;13,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0;;;9;1;;10;10;;5;;;;;;;;;;;;
